SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20190102|D1668R123|DDAIF|556|DAIMLER AG|52.77
20190102|D18190898|DB|1180|DEUTSCHE BANK AG NAMEN AKT (DE|8.15
20190102|G0177J108|AGN|1464|ALLERGAN PLC ORD SHS (IRL)|133.66
20190102|G0335L102|ANFI|5087|AMIRA NATURE FOODS LTD ORD SHS|0.42
20190102|G0408V102|AON|348|AON PLC ORD SHS CL A NEW (UK) |145.36
20190102|G04553106|ARCE|280|ARCO PLATFORM LTD CL A COM (CY|22.12
20190102|G0535E106|APWC|1270|ASIA PACIFIC WIRE & CABLE CORP|1.94
20190102|G06207123|AFHBL|988|ATLAS FINL HLDGS INC 6.625%SR |25.83
20190102|G06242104|TEAM|302|ATLASSIAN CORP PLC CLA (GBR)|88.98
20190102|G0684D107|ATH|411|ATHENE HLDG LTD CL A (BMU)|39.83
20190102|G0692U117|AXSPRD|325|AXIS CAPITAL HLDGS LTD PFD SR |21.45
20190102|G0750C108|AXTA|19|AXALTA COATING SYS LTD COM SHS|23.42
20190102|G10830100|BYSI|100|BEYONDSPRING INC ORD SHS (CYM)|18.16
20190102|G1142P112|BCACW|202|BISON CAP ACQUISITION CORP WT |0.20
20190102|G1151C101|ACN|61|ACCENTURE PLC CL-A ORDINARY SH|141.01
20190102|G1190F107|BCRH|922|BLUE CAP REINS HLDGS LTD COM S|5.50
20190102|G1466B103|BRQS|409|BORQS TECHNOLOGIES INC SHS (VG|3.22
20190102|G16234109|BBU|7|BROOKFIELD BUSINESS PARTNERS L|30.39
20190102|G16252101|BIP|819|BROOKFIELD INFRASTRUCTURE PART|34.53
20190102|G1757E113|CMCL|9354|CALEDONIA MNG CORP PLC SHS NEW|5.25
20190102|G1890L107|CPRI|263866|CAPRI HLDGS LTD SHS (VGB)|37.93
20190102|G18920127|CICWS|256|CAPITOL INVT CORP IV WT PUR ON|1.00
20190102|G1992S109|CISN|215|CISION LTD|11.70
20190102|G2113X134|CCCL|12|CHINA CERAMICS CO LTD USD SHS |1.53
20190102|G2118P102|CCRC|81497|CHINA CUSTOMER RELATIONS CTRS |13.01
20190102|G2120A101|CIFS|279|CHINA INTERNET NATIONWIDE FINL|0.92
20190102|G21612109|CLDC|2283|CHINA LENDING CORP SHS (VGB)|0.98
20190102|G22707114|CCHWS|3200|COLLIER CREEK HOLDINGS WT EXP |1.20
20190102|G2345N102|CMSS|231|CM SEVEN STAR ACQUISITION CORP|10.10
20190102|G2345N128|CMSSU|800|CM SEVEN STAR ACQUISITION CORP|10.55
20190102|G2379F108|CNAC|913|CONSTELLATION ALPHA CAP CORP|10.22
20190102|G2379F116|CNACW|600|CONSTELLATION ALPHA CAP CORP W|0.11
20190102|G2379F124|CNACU|41|CONSTELLATION ALPHA CAP CORP U|10.30
20190102|G2692M129|DDMXU|600|DD3 ACQUISITION CORP UNIT 1 CO|10.02
20190102|G2717B108|CWK|3|CUSHMAN & WAKEFIELD PLC SH (GB|14.47
20190102|G2788T103|DOGZ|81|DOGNESS INTL CORP CL A COM (VG|3.92
20190102|G29183103|ETN|398|EATON CORP PLC (IRL)|68.66
20190102|G3157S106|ESV|267713|ENSCO INTERNATIONAL PLC,LONDON|3.56
20190102|G3402M102|FG|406|FGL HLDGS ORD SHS (CYM)|6.66
20190102|G35006108|ALAC|20|ALBERTON ACQCORP USD ORD SHS|9.80
20190102|G36738105|FDP|100|FRESH DEL MONTE PRODUCE(ORD)|28.27
20190102|G39108108|GTES|3791|GATES INDL CORP PLC SHS (GBR) |13.24
20190102|G3933F121|GBLIZ|113|GLOBAL INDTY LTD CAYMAN 7.75% |23.88
20190102|G39637205|GOGL|268|GOLDEN OCEAN GROUP LTD SHS NEW|6.16
20190102|G4027R104|DNJR|120|GOLDEN BULL LTD SHS (CYM)|5.72
20190102|G4617B105|HZNP|297|HORIZON PHARMA PLC ORD SHS (IR|19.54
20190102|G46408103|HUD|147|HUDSON LTD|17.15
20190102|G4740B105|ICHR|100|ICHOR HLDGS LTD SHS (CYM)|16.30
20190102|G491BT108|IVZ|100|INVESCO LTD (NEW)|16.74
20190102|G51502105|JCI|441|JOHNSON CTLS INTL PLC SHS (IRL|29.65
20190102|G5269C101|KNSA|60|KINIKSA PHARMACEUTICALS LTD|28.09
20190102|G5315B107|KOSXXXX|8333|KOSMOS ENERGY LTD|3.98
20190102|G54050102|LAZ|65458|LAZARD LTD|36.91
20190102|G5463L113|LHCWS|2101|LEO HLDGS CORP WT EXP|1.07
20190102|G5480U104|LBTYA|61|LIBERTY GLOBAL PLC SHS CL A|21.34
20190102|G5494J103|LIN|1724|LINDE PLC SHS (IRL)|156.04
20190102|G56372124|LOACR|200|LONGEVITY ACQUISITION CORP|0.40
20190102|G5698W116|LXFR|487|LUXFER HOLDINGS PLC SHS (GBR) |17.63
20190102|G5753U112|MHLD|7625|MAIDEN HOLDINGS LTD COM STK (B|1.65
20190102|G60754101|KORS|2005|MICHAEL KORS HLDGS LTD ORD SHS|37.92
20190102|G637AM102|MYOV|803|MYOVANT SCIENCES LTD COM (BMU)|16.41
20190102|G64335105|NEWA|3948|NEWATER TECHNOLOGY INC. SHS (V|5.60
20190102|G6455X107|NETS|3524|NETSHOES CAYMAN LTD COM (CYM) |1.49
20190102|G6485P124|NFCWS|6100|NEW FRONTIER CORP WT EXP 7/3/2|0.90
