SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20190515|D1668R123|DDAIF|2135|DAIMLER AG|59.46
20190515|D18190898|DB|10338|DEUTSCHE BANK AG NAMEN AKT (DE|7.68
20190515|G0080J112|ACTTU|6299|ACT II GLOBAL ACQ CORP USD UIT|10.07
20190515|G0084W101|ADNT|2601|ADIENT PLC ORD SHS (IRL)|20.68
20190515|G0129K104|AYR|988|AIRCASTLE LIMITED COM|19.69
20190515|G0132V105|AGMH|68|AGM GROUP HLDGS INC USD CL A O|15.44
20190515|G02602103|DOX|5|AMDOCS LTD ORD|53.46
20190515|G037AX101|AMBA|7917|AMBARELLA, INC ORD SHS|47.65
20190515|G0408V102|AON|5410|AON PLC ORD SHS CL A NEW (UK) |178.05
20190515|G04415108|ANDA|100|ANDINA ACQUISITION CORP III US|9.77
20190515|G0443N107|WAAS|61|AQUAVENTURE HLDGS LTD SHS (VGB|19.15
20190515|G05384154|AHLPRC|169|ASPEN INSURANCE HLDGS LTD FXD/|26.51
20190515|G0585R106|AGO|107|ASSURED GUARNATY LTD|42.46
20190515|G0602B100|ATIF|1578|ATIF HLDGS LTD USD ORD SHS|4.30
20190515|G06207115|AFH|637|ATLAS FINANCIAL HOLDINGS INC. |0.92
20190515|G06207123|AFHBL|100|ATLAS FINL HLDGS INC 6.625%SR |11.00
20190515|G0684D107|ATH|1237|ATHENE HLDG LTD CL A (BMU)|43.70
20190515|G07025201|EARS|128690|AURIS MED HLDG LTD SHS (BMU)|3.68
20190515|G0750C108|AXTA|763|AXALTA COATING SYS LTD COM SHS|25.44
20190515|G0750W203|AXGT|33025|AXOVANT GENE THERAPIES LTD COM|8.03
20190515|G10830100|BYSI|264|BEYONDSPRING INC ORD SHS (CYM)|15.00
20190515|G1151C101|ACN|71|ACCENTURE PLC CL-A ORDINARY SH|173.61
20190515|G16249107|BPY|20670|BROOKFIELD PPTY PARTNERS L P U|19.79
20190515|G16252101|BIP|3085|BROOKFIELD INFRASTRUCTURE PART|42.03
20190515|G16258108|BEP|68|BROOKFIELD RENEWABLE PARTNERS |31.64
20190515|G1757E113|CMCL|5483|CALEDONIA MNG CORP PLC SHS NEW|5.83
20190515|G18920119|CICU|136643|CAPITOL INVT CORP IV (CYM)|10.85
20190515|G18920127|CICWS|57591|CAPITOL INVT CORP IV WT PUR ON|1.56
20190515|G1899E146|CUPUF|80|CARIBBEAN UTILITIES LTD CL-A|13.81
20190515|G1991C105|CATM|49|CARDTRONICS PLC|33.82
20190515|G1992S109|CISN|412|CISION LTD|11.39
20190515|G2113X134|CCCL|92|CHINA CERAMICS CO LTD USD SHS |1.14
20190515|G2120A101|CIFS|3970|CHINA INTERNET NATIONWIDE FINL|2.38
