SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20191216|B38564108|EURN|301|EURONAV NV ANTWERPEN (BELGIUM)|11.45
20191216|D1668R123|DDAIF|12|DAIMLER AG|56.29
20191216|D18190898|DB|1400|DEUTSCHE BANK AG NAMEN AKT (DE|7.48
20191216|F21107101|CSTM|474359|CONSTELLIUM SE CL A SHS USD (F|14.91
20191216|G0080J104|ACTT|396|ACT II GLOBAL ACQUISITION CORP|9.87
20191216|G0084W101|ADNT|7|ADIENT PLC ORD SHS (IRL)|22.91
20191216|G01125106|AFYA|75|AFYA LTD CL A COM|26.54
20191216|G0120M109|AGBA|100|AGBA ACQUISITION LTD SHS|10.08
20191216|G0129K104|AYR|97|AIRCASTLE LIMITED COM|32.06
20191216|G0132V105|AGMH|257|AGM GROUP HLDGS INC USD CL A O|16.11
20191216|G0177J108|AGN|52|ALLERGAN PLC ORD SHS (IRL)|188.34
20191216|G02602103|DOX|975|AMDOCS LTD ORD|70.57
20191216|G0335L102|ANFI|10242|AMIRA NATURE FOODS LTD ORD SHS|0.40
20191216|G0457F107|ARCO|87|ARCOS DORADOS HOLDINGDS INC. C|7.91
20191216|G0473C104|JJAQF|945235|API GROUP CORP SHS (VGB)|9.49
20191216|G05384162|AHLPRD|1197|ASPEN INSURANCE HOLDINGS LIMIT|26.28
20191216|G06242104|TEAM|180|ATLASSIAN CORP PLC CLA (GBR)|119.81
20191216|G06974102|AUIAF|10704|AURANIA RES LTD SHS (BERMUDA) |2.93
20191216|G07025201|EARS|5|AURIS MED HLDG LTD SHS (BMU)|1.38
20191216|G0750W203|AXGT|1092|AXOVANT GENE THERAPIES LTD COM|5.53
20191216|G0772R208|NTB|15549|BANK OF NT BUTTERFIELD & SON|36.58
20191216|G10830100|BYSI|954|BEYONDSPRING INC ORD SHS (CYM)|14.46
20191216|G1117K114|BIOX|16|BIOCERES CROP SOLUTIONS CORP. |5.35
20191216|G1466R207|BORR|5190|BORR DRILLING LTD SHS (BERMUDA|8.07
20191216|G14838109|MIME|390|MIMECAST LTD ORD SHS (GBR)|43.88
20191216|G16234109|BBU|532|BROOKFIELD BUSINESS PARTNERS L|40.64
20191216|G16249107|BPY|16528|BROOKFIELD PPTY PARTNERS L P U|18.37
20191216|G16249156|BPYPO|686|BROOKFIELD PPTY PART P|25.74
20191216|G16252101|BIP|2092|BROOKFIELD INFRASTRUCTURE PART|51.03
20191216|G16258108|BEP|1284|BROOKFIELD RENEWABLE PARTNERS |46.05
20191216|G1757E113|CMCL|14181|CALEDONIA MNG CORP PLC SHS NEW|8.12
20191216|G1991C105|CATM|3984|CARDTRONICS PLC|41.45
20191216|G21082105|CYD|1|CHINA YUCHAI INTL LTD|13.72
20191216|G2113X134|CCCL|21697|CHINA CERAMICS CO LTD USD SHS |1.06
