SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200302|G5494J103|LIN|2203|LINDE PLC SHS (IRL)|191.01
20200302|G5753U146|MHPRD|585|MAIDEN HOLDINGS LTD. PREFERRED|7.24
20200302|G5785G107|MNK|210016|MALLINCKRODT PUB LTD CO SHS (I|4.28
20200302|G6S41R101|OSMT|440|OSMOTICA PHARMACEUTICALS PLC|5.83
20200302|G6095L109|APTV|5324|APTIV PLC SHS (JEY)|78.11
20200302|G6181K106|MTC|150|MMTEC INC SHS|1.58
20200302|G6333L101|ITRM|1676|ITERUM THERAPEUTICS LTD|2.39
20200302|G6359F103|NBR|134|NABORS INDS LTD (NEW) BERMUDA |1.76
20200302|G6359F129|NBRPRA|1322|NABORS INDUSTRIES LTD PFD CONV|14.88
20200302|G63907102|NTP|1280|NAM TAI PPTY INC COM SHS (VGB)|6.80
20200302|G6455A115|NFINW|2236|NETFIN ACQUISITION CORP WT EXP|0.58
20200302|G6461G106|NFH|8425|NEW FRONTIER HEALTH CORP SHS (|9.50
20200302|G6463T130|NBACU|400|NEWBORN ACQUISITION CORP UNIT |10.08
20200302|G65431101|NE|93646|NOBLE CORP PLC ORD SHS (UK)|0.70
20200302|G66721104|NCLH|68768|NORWEGIAN CRUISE LINE HLDGS LT|37.26
20200302|G67145113|OACWS|13368|OAKTREE ACQUISITION CORP WT EX|1.90
20200302|G67145121|OACU|5986|OAKTREE ACQUISTION CORP (CYM) |10.51
20200302|G6769T115|ORXGF|1502|ORCA EXPLORATION GROUP INC SHS|4.65
20200302|G68707101|PAGS|4|PAGSEGURO DIGITAL LTD|31.37
20200302|G6891L105|PANL|287|PANGEA LOGISTICS SOLUTIONS LTD|2.75
20200302|G7T16G103|SPNS|735|SAPIENS INTL CORP NV NEW (CYM)|23.12
20200302|G7T96K107|SRL|200|SCULLY RTY LTD USD COM SHS NEW|8.56
20200302|G7306H101|PHCF|5|PUHUI WEALTH INVT MGMT CO LTD |2.10
20200302|G75271109|RETO|97|RETO ECO-SOLUTIONS INC USD COM|0.81
20200302|G78516302|SCPEU|1000|SC HEALTH CORPUNIT 1 CL A & 1/|10.50
20200302|G7998G106|SDRL|81285|SEADRILL LTD NEW SHS (BMU)|1.10
20200302|G8060N102|ST|96|SENSATA TECHNOLOGIES HLDG PLC |40.80
20200302|G81276100|SIG|1122|SIGNET JEWELERS LTD COM SHS|23.32
20200302|G8136L114|SSPKW|200|SILVER SPIKE ACQUISITION CORP |0.50
20200302|G8232Y101|SGH|32|SMART GLOBAL HLDGS INC SHS|26.84
20200302|G8473T100|STE|2477|STERIS PLC ORD SHS(IRL)|158.62
20200302|G85158106|STNE|22777|STONECO LTD CL A (CYM)|39.89
20200302|G85347105|SBBP|50920|STRONGBRIDGE BIOPHARMA PLC SHS|2.77
20200302|G8807B106|TBPH|7985|THERAVANCE BIOPHARMA INC ORD S|24.35
20200302|G8827U100|TPRE|11|THIRD PT REINSURANCE LTD COM S|8.92
20200302|G89982113|TAT|4000|TRANSATLANTIC PETROLEUM LTD OR|0.32
20200302|G9001E102|LILA|300|LIBERTY LATIN AMER LTD CL A (B|15.15
20200302|G9001E128|LILAK|3882|LIBERTY LATIN AMER LTD CL C (B|15.19
20200302|G9087Q102|TROX|5|TRONOX HLDGS PLC SHS (GBR)|7.34
20200302|G9108L132|TNPPRC|393|TSAKOS ENERGY NAVIGATION LTD R|25.05
20200302|G9376R100|VVPR|15958|VIVOPOWER INTERNATIONAL PLC SH|1.10
20200302|G9402V109|VAL|64801|VALARIS PLC SHS CL A (GBR)|3.69
20200302|G94184101|WAFU|160|WAH FU ED GROUP LTD SHS (VGB) |2.40
20200302|G9456A100|GLNG|5181|GOLAR LNG LTD (BERMUDA)|12.82
20200302|G97822103|PRGO|4496|PERRIGO COMPANY PLC (IRL)|50.69
20200302|G9829R103|XTGRF|4452|XTRA-GOLD RESOURCES CORP COM S|0.43
20200302|G98338109|YTRA|3270|YATRA ONLINE INC ORD SHS (CYM)|2.84
20200302|G98882114|ZGYHU|4892|YUNHONG INTL UIT CONST 1 CL A |9.98
20200302|G9897X107|ZCMD|1503|ZHONGCHAO INC USD CL A ORD SHS|3.91
20200302|H00263105|ACIU|1440|AC IMMUNE SA SHS (CHE)|6.87
20200302|H01301128|ALC|127578|ALCON INC. ORDINARY SHARES (CH|61.30
20200302|H1467J104|CB|4954|CHUBB LTD COM|145.03
20200302|H2906T109|GRMN|4267|GARMIN LTD COM STK (CH)|88.39
20200302|H5861P103|OBSV|9950|OBSEVA SA COM SHS (CHE)|3.03
20200302|L0164E108|SONG|7251|AKAZOO S A SHS EURO|4.59
20200302|L0427L105|ATTO|2169|ATENTO S A ORD SHS (LUX)|2.97
20200302|L5140P101|I|176438|INTELSAT S A COM (LUX)|3.86
20200302|L6388F110|TIGO|3610|MILLICOM INTL CELLULAR SA REG |45.51
20200302|L8681T102|SPOT|128|SPOTIFY TECHNOLOGY S A SHS (LU|137.12
20200302|M22465104|CHKP|11594|CHECK POINT SOFTWR TECHNLS LTD|103.80
20200302|M25722105|CGEN|3270|COMPUGEN LTD|9.07
20200302|M2682V108|CYBR|112|CYBERARK SOFTWARE LTD. ORDINAR|104.70
20200302|M26895108|CYRN|1247|CYREN LTD|1.10
20200302|M37605124|EMITF|31|ELBIT IMAGING LTD SHS NEW NO P|1.46
20200302|M4R82T106|FVRR|53660|FIVERR INTL LTD ORD SHS (ISR) |31.48
20200302|M40527117|ENTXW|79|EVERQUOTE, INC. WARRANT (ISR) |0.38
20200302|M4119S104|EVGN|935|EVOGENE LTD ORD SHRS ORD SHARE|1.27
20200302|M4130Y106|ENLV|1300|ENLIVEX THERAPEUTICS LTD COM O|8.95
